TRACK: Peace_War_and_Defense_BA
URL: https://catalog.unc.edu/undergraduate/programs-study/peace-war-defense-major-ba/

## Requirements
NOTE: In addition to the program requirements, students must
NOTE: For more information, please consult the degree requirements section of the catalog .
### Core Requirements
  POLI/PWAD/SOCI 260 | Crisis and Change in Russia and Eastern Europe | 3hrs
  POLI/PWAD 287 | Strategy and International Relations | 3hrs
  POLI/PWAD 444 | Terrorism and International Peace | 3hrs
  POLI/PWAD 452 | Africa and International Conflict | 3hrs
  POLI/PWAD 457 | International Conflict Processes | 3hrs
  POLI/PWAD 458 | International Conflict Management and Resolution H | 3hrs
  POLI/PWAD 459 | Trans-Atlantic Security H | 3hrs
  POLI/PWAD 469 | Conflict and Intervention in the Former Yugoslavia H | 3hrs
  POLI 487 | Networks in International Relations | 3hrs
  POLI 631 | European Security: The Enlarging European Union and the Trans-Atlantic Relationship | 3hrs
  PWAD 352 | The History of Intelligence Operations | 3hrs
  PWAD 359 | Comparative History of National Intelligence Regimes H | 3hrs
  PWAD 360 | The History of Warning Intelligence | 3hrs
  PWAD 361 | The History of Deception | 3hrs
  PWAD 363 | Ethical Issues in Intelligence and National Security | 3hrs
  PWAD 364 | Post-Conflict and Peacebuilding | 3hrs
  PWAD 470 | September 11, 2001: Origins, Consequences and Assessment | 3hrs
  PWAD 474 | U.S. in Asia from 1783 to Now | 3hrs
  PWAD 479 | Conflict in Iraq's Modern History | 3hrs
  PWAD 482 | US Use of Force since World War II | 3hrs
  PWAD 483 | Conflict, Development, and U.S. Foreign Policy | 3hrs
  PWAD 488 | Nuclear Security in the 21st Century | 3hrs
  RELI/PWAD 481 | Religion, Fundamentalism, and Nationalism | 3hrs

## The Evolution of Warfare
  AAAD 312 | Terrorism in Africa | 3hrs
  CLAR/PWAD 115 | Life in the Roman Army | 3hrs
  COMM/PWAD 355 | Terrorism and Political Violence | 3hrs
  HIST/PWAD 206 | War, Diplomacy, and Statecraft, 1815-1945 | 3hrs
  HIST/PWAD 207 | The Global Cold War | 3hrs
  HIST/PWAD 212 | History of Sea Power | 3hrs
  HIST/AERO/PWAD 213 | Air Power and Modern Warfare | 3hrs
  HIST/PWAD 238 | The American Revolution, 1763-1815 | 3hrs
  HIST/PWAD 248 | Guerrillas and Counterinsurgencies in Latin America | 3hrs
  HIST/PWAD 251 | The Thirty Years War (1618-1648): Europe in an Age of Crisis | 3hrs
  HIST/PWAD 254 | War and Society in Early Modern Europe | 3hrs
  HIST/PWAD/JWST 262 | History of the Holocaust: The Destruction of the European Jews | 3hrs
  HIST/ASIA/PWAD 277 | The Conflict over Israel/Palestine | 3hrs
  HIST/ASIA/PWAD 281 | The Pacific War, 1937-1945: Its Causes and Legacy | 3hrs
  HIST/PWAD 368 | U.S. War and Society to 1920 | 3hrs
  HIST/PWAD 369 | U.S. War and Society Since 1920 | 3hrs
  HIST/PWAD 370 | The Iraq War: Causes, Course, and Consequences | 3hrs
  HIST/PWAD 373 | The United States in World War II | 3hrs
  HIST/PWAD 421 | Alexander | 3hrs
  HIST/PWAD 422 | Ancient Greek Warfare H | 3hrs
  HIST/PWAD 432 | The Crusades | 3hrs
  HIST 507 | Geopolitical Rivalry, Development, and Global Capitalism, 1900-1950 | 3hrs
  HIST/PWAD/WGST 517 | Gender, Military, and War | 3hrs
  HIST/PWAD 565 | Civil War and Reconstruction, 1848-1900 | 3hrs
  HIST/ASIA/PWAD 570 | The Vietnam War | 3hrs
  HIST/PWAD 577 | United States Foreign Relations in the 20th Century | 3hrs
  HIST/PWAD 578 | Transatlantic Relations and Contemporary Geo-Politics from the Cold War to the Present | 3hrs
  MUSC/PWAD 289 | Sounds of War and Revolution | 3hrs
  POLI/PWAD 150 | International Relations and Global Politics H, F | 3hrs
  POLI/PWAD 444 | Terrorism and International Peace | 3hrs
  POLI/PWAD 459 | Trans-Atlantic Security H | 3hrs
  PWAD 352 | The History of Intelligence Operations | 3hrs
  PWAD 470 | September 11, 2001: Origins, Consequences and Assessment | 3hrs
  PWAD 474 | U.S. in Asia from 1783 to Now | 3hrs
  PWAD 479 | Conflict in Iraq's Modern History | 3hrs
  PWAD 482 | US Use of Force since World War II | 3hrs

## Race, Gender, and Conflict Legacies
  AAAD 286 | The African Diaspora in the Colonial Americas, 1450-1800 | 3hrs
  AAAD 315 | Political Protest and Conflict in Africa | 3hrs
  AAAD 332 | Remembering Race and Slavery | 3hrs
  ANTH/FOLK 370 | Southern Legacies: The Descendants Project | 4hrs
  ANTH/ASIA 375 | Memory, Massacres, and Monuments in Southeast Asia | 3hrs
  ANTH/ASIA/FOLK 429 | Culture and Power in Southeast Asia | 3hrs
  ANTH 461 | Colonialism and Postcolonialism: History and Anthropology | 3hrs
  ANTH 464 | Life and Violence | 3hrs
  ASIA/PWAD 331/HIST 335 | Cracking India: Partition and Its Legacy in South Asia H | 3hrs
  COMM/PWAD 574 | War and Culture | 3hrs
  GEOG 240 | Introduction to Environmental Justice | 3hrs
  GEOG 435 | Global Environmental Justice | 3hrs
  GEOG 480 | Liberation Geographies | 3hrs
  GLBL 383 | Global Whiteness | 3hrs
  GLBL 415 | Dealing with Difference: Criminal Justice, Race, and Social Movements in Globalization H | 3hrs
  HIST/ASIA 136 | History of India, Pakistan, and Bangladesh: South Asia since 1750 | 3hrs
  HIST 142 | Latin America under Colonial Rule | 3hrs
  HIST 208 | Genocide in Global Perspective | 3hrs
  HIST/AMST 235 | Native America in the 20th Century | 3hrs
  HIST/PWAD 248 | Guerrillas and Counterinsurgencies in Latin America | 3hrs
  HIST/PWAD 262 | History of the Holocaust: The Destruction of the European Jews | 3hrs
  HIST/ASIA/PWAD 277 | The Conflict over Israel/Palestine | 3hrs
  HIST/PWAD 312 | History of France and Algeria | 3hrs
  HIST 385/WGST 382 | African American Women's History | 3hrs
  HIST 443 | Settler Colonialism in Global Perspective | 3hrs
  HIST/PWAD 565 | Civil War and Reconstruction, 1848-1900 | 3hrs
  PLCY 349 | Immigration Policy in the 21st Century | 3hrs
  POLI 255 | International Migration and Citizenship Today H | 3hrs
  POLI 258 | Political Economy of Migration and Mobility H | 3hrs
  POLI/PWAD 444 | Terrorism and International Peace | 3hrs
  POLI 451 | Race, Ethnicity, and Political Change in Comparative Perspective | 3hrs
  POLI/PWAD 452 | Africa and International Conflict | 3hrs
  POLI/PWAD 469 | Conflict and Intervention in the Former Yugoslavia H | 3hrs
  POLI 474 | Global Justice | 3hrs
  PWAD 675 | War, Crimes against Humanity, and Justice | 3hrs
  SOCI 122 | Race and Ethnicity | 3hrs
  SOCI 124 | Sex and Gender in Society | 3hrs
  SOCI 125 | Sociology of Sexualities | 3hrs
  SOCI 274 | Advocacy Strategies: Communication Across Movements | 3hrs

## PWAD Major Electives
  PWAD 89 | First-Year Seminar: Special Topics | 3hrs
  PWAD 290 | Special Topics in Peace, War, and Defense | 3hrs
  PWAD 400 | Briefing for National Security | 3hrs
  PWAD 490 | Special Topics in Peace, War, and Defense | 3hrs
  PWAD 680 | Research Seminar in Peace, War, and Defense | 3hrs
  PWAD 690 | Seminars in Peace, War, and Defense | 3hrs
  PWAD 691H | Honors in Peace, War, and Defense | 3hrs
