TRACK: Political_Science_BA
URL: https://catalog.unc.edu/undergraduate/programs-study/political-science-major-ba/

## Requirements
NOTE: In addition to the program requirements, students must
NOTE: For more information, please consult the degree requirements section of the catalog .
### Core Requirements
  POLI 236 | Politics of East-Central Europe H | 3hrs
  POLI 237 | The Politics of China | 3hrs
  POLI 238 | Politics of the Global South: Latin America H | 3hrs
  POLI 239 | Introduction to European Government H | 3hrs
  POLI 241 | Comparative Political Behavior H | 3hrs
  POLI 252 | International Organizations and Global Issues H | 3hrs
  POLI 253 | Problems in World Order | 3hrs
  POLI 254 | International Environmental Politics | 3hrs
  POLI 255 | International Migration and Citizenship Today H | 3hrs
  POLI 256 | The Politics of the First Era (1880-1914) of Globalization | 3hrs
  POLI 257 | Politics, Society, and Culture in Postwar Germany | 3hrs
  POLI 260 | Crisis and Change in Russia and Eastern Europe | 3hrs
  POLI 350 | Peace Science Research | 3hrs
### Advanced Courses
  POLI 428 | Sexuality, Race, and Gender: Identity and Political Representation | 3hrs
  POLI 429 | Diversity and Politics | 3hrs
  POLI 430 | Analysis of National Security Policy | 3hrs
  POLI 431 | African Politics | 3hrs
  POLI 432 | Tolerance in Liberal States | 3hrs
  POLI 433 | Politics of the European Union H | 3hrs
  POLI 434 | Politics of Mexico | 3hrs
  POLI 435 | Democracy and Development in Latin America H | 3hrs
  POLI 438 | Democracy and International Institutions in an Undivided Europe | 3hrs
  POLI 440 | How to Stay in Power When the People Want You Dead: The Politics of Authoritarian Survival | 3hrs
  POLI 441 | Israeli Politics and Society | 3hrs
  POLI 442 | International Political Economy | 3hrs
  POLI 443 | American Foreign Policy: Formulation and Conduct | 3hrs
  POLI 444 | Terrorism and International Peace | 3hrs
  POLI 447 | Immigrant Integration in Contemporary Western Europe H | 3hrs
  POLI 448 | The Politics of Multilevel Governance H | 3hrs
  POLI 449 | Beg, Borrow, or Steal: How Governments Get Money and Its Effects on Accountability | 3hrs
  POLI 450 | Contemporary Inter-American Relations H | 3hrs
  POLI 451 | Race, Ethnicity, and Political Change in Comparative Perspective | 3hrs
  POLI 452 | Africa and International Conflict | 3hrs
  POLI 453 | When Countries Go Broke: Political Responses to Financial Crises | 3hrs
  POLI 457 | International Conflict Processes | 3hrs
  POLI 458 | International Conflict Management and Resolution H | 3hrs
  POLI 459 | Trans-Atlantic Security H | 3hrs
  POLI 469 | Conflict and Intervention in the Former Yugoslavia H | 3hrs
