TRACK: Exercise_and_Sport_Science_BS
URL: https://catalog.unc.edu/undergraduate/programs-study/exercise-sport-science-major-bs/

## Requirements
NOTE: In addition to the program requirements, students must
NOTE: For more information, please consult the degree requirements section of the catalog .
### Core Requirements
  ENVR 205 | Engineering Tools for Environmental Problem Solving | 3hrs
  ENVR 403 | Environmental Chemistry Processes | 3hrs
  ENVR 411 | Laboratory Techniques and Field Measurements | 3hrs
  ENVR 412 | Ecological Microbiology | 3hrs
  ENVR 413 | Limnology | 3hrs
  ENVR 416 | Aerosol Physics and Chemistry | 4hrs
  ENVR 419 | Chemical Equilibria in Natural Waters | 3hrs
  ENVR 421 | Environmental Health Microbiology | 3hrs
  ENVR 425 | Introduction to Health Physics: Radiation and Radiation Protection | 3hrs
  ENVR 430 | Health Effects of Environmental Agents | 3hrs
  ENVR 451 | Introduction to Environmental Modeling | 3hrs
  ENVR 453 | Groundwater Hydrology | 3hrs
  ENVR 468 | Temporal GIS and Space/Time Geostatistics for the Environment and Public Health | 3hrs
  ENVR 470 | Environmental Risk Assessment | 3hrs
  ENVR 472 | Quantitative Risk Assessment in Environmental Health Microbiology | 3hrs
  ENVR 514 | Measurement of NOx, O3, and Volatile Organic Compounds | 3hrs
  ENVR 575 | Global Climate Change: Science, Impacts, Solutions | 3hrs
  ENVR 630 | Systems Biology in Environmental Health | 3hrs
  ENVR 661 | Scientific Computation I | 3hrs
  ENVR 662 | Scientific Computation II | 3hrs
  ENVR 666 | Numerical Methods | 3hrs
  ENVR 668 | Methods of Applied Mathematics I | 3hrs
  ENVR 669 | Methods of Applied Mathematics II | 3hrs
  ENVR 671 | Environmental Physics I | 3hrs
  ENVR 672 | Environmental Physics II | 3hrs
  ENVR 675 | Air Pollution, Chemistry, and Physics | 3hrs
### Geography
  GEOG 110 | The Blue Planet: An Introduction to Earth's Environmental Systems H | 3hrs
  GEOG 111 | Weather and Climate | 3hrs
  GEOG 212 | Environmental Conservation and Global Change | 3hrs
  GEOG 253 | Introduction to Atmospheric Processes | 4hrs
  GEOG 391 | Quantitative Methods in Geography | 3hrs
  GEOG 412 | Synoptic Meteorology | 3hrs
  GEOG 414 | Climate Change | 3hrs
  GEOG 416 | Applied Climatology: The Impacts of Climate and Weather on Environmental and Social Systems | 3hrs
  GEOG 440 | Earth Surface Processes | 3hrs
  GEOG 441 | Introduction to Watershed Systems | 3hrs
  GEOG 442 | Limnology and Freshwater Ecology | 3hrs
### Mathematics
RULE: Any class above MATH 231 Calculus of Functions of One Variable I
### Microbiology 1
  MCRO 251 | Introductory Medical Microbiology | 4hrs
### Nutrition 1
  NUTR 240 | Introduction to Human Nutrition | 3hrs
  NUTR 600 | Human Metabolism: Macronutrients | 3hrs
  NUTR 620 | Human Metabolism: Micronutrients | 3hrs
### Psychology 1
RULE: Any PSYC course above PSYC 101 General Psychology
### Neuroscience 1
RULE: Any NSCI course
### Statistics and Operations Research
RULE: Any STOR course above 155 Introduction to Statistics
NOTE: Life sciences subject code.
