TRACK: Religious_Studies_Minor
URL: https://catalog.unc.edu/undergraduate/programs-study/religious-studies-minor/

## Requirements
NOTE: In addition to the program requirements listed below, students must:
NOTE: For more information, please consult the degree requirements section of the catalog .
### Core Requirements
RULE: Minimum requirements for the minor consist of five courses, two of which must be numbered above 400 15
### Additional Requirements
RULE: At least one course in two of the department's subfields (see lists below).
NOTE: Introductory and intermediate language courses ( RELI 401 , RELI 402 , RELI 403 , RELI 404 , RELI 409 , RELI 410 ) are recommended for their usefulness but do not count towards the minor in religious studies.

## Ancient Mediterranean Religions
  RELI 385 | Modern Muslims and the Qur'an | 3hrs
  RELI 390 | Topics in the Study of Religion (based on topic) | 3hrs
  RELI 474 | Buddhist Meditation, Mindfulness, and Modernity | 3hrs
  RELI 480 | Modern Muslim Literatures | 3hrs
  RELI 485 | Gender and Sexuality in Islam | 3hrs
  RELI 524 | Ethnographic Approaches to Contemporary Religion | 3hrs
  RELI 580 | African American Islam | 3hrs
  RELI 585 | Religion and Culture of Turkey | 3hrs
  RELI 586 | Women and Gender in Japanese Religions | 3hrs
  RELI 590 | Topics in the Study of Religion (based on topic) | 3hrs

## Medieval and Early Modern/Historical Studies
  ASIA/RELI 180 | Introduction to Islamic Civilization | 3hrs
  ASIA/RELI 284 | The Buddhist Tradition: East Asia | 3hrs
  ASIA/RELI 488 | Shinto in Japanese History | 3hrs
  ASIA/RELI 581 | Sufism | 3hrs
  ASIA 301/RELI 286 | Premodern Japanese Religions | 3hrs
  ASIA 303/RELI 288 | Chinese Religions | 3hrs
  EURO/RELI 270 | Religion in Western Europe H | 3hrs
  GSLL/RELI 218 | Christianity and Islam in the Middle Ages | 3hrs
  GERM/RELI 227 | Luther and the Bible | 3hrs
  HIST/RELI 263 | Gender and Religion in Premodern Europe H | 3hrs
  HIST/RELI 454 | The Reformation | 3hrs
  RELI 62 | First-Year Seminar: A History of Heresy: Christian Dissent from the Gnostics to the Pentecostals | 3hrs
  RELI 77 | First-Year Seminar: Martyrs and Warriors: Religion and the Problem of Violence | 3hrs
  RELI 87 | First-Year Seminar: Confessions | 3hrs
  RELI 88 | First-Year Seminar: Religion and Society in Historical Novels | 3hrs
  RELI 108 | Classic Jewish Texts: From Bible and Dead Sea Scrolls to Kabbalah and Hassidism | 3hrs
  RELI 161 | Introduction to the History of Christian Traditions H | 3hrs
  RELI 162 | Catholicism Today: An Introduction to the Contemporary Catholic Church | 3hrs
